Nom réponse (Id)	Question	Corps Question	Corps de la réponse (100 caractères max)	Améliore le(s) genre(s)	Améliore le score des titres	Améliore le score des éléments de la couv
Genre_Reve_SF	Genre_Reve	Le matin, vous vous rappelez de votre rêve :	Vous étiez en train d'explorer une planète inconnue luxuriante	Science-Fiction	SF_Masc_Début_Lieux, SF_Masc_Début_Objets, SF_Masc_Début_Heros, SF_Masc_Début_Ennemis, SF_Fem_Début_Lieux, SF_Fem_Début_Objets, SF_Fem_Début_Heros, SF_Fem_Début_Ennemis	DEC_Fantasy_Forest_FRONT
Genre_Reve_Horreur	Genre_Reve	Le matin, vous vous rappelez de votre rêve :	Vous étiez pourchassé-e par une créature horrible	Horreur	Horreur_Masc_Début_Lieux, Horreur_Masc_Début_Objets, Horreur_Masc_Début_Heros, Horreur_Masc_Début_Ennemis, Horreur_Fem_Début_Lieux, Horreur_Fem_Début_Objets, Horreur_Fem_Début_Heros, Horreur_Fem_Début_Ennemis	SUJ_Zombie_FRONT, SUJ_Monster_FRONT, SUJ_Ghost_FRONT
Genre_Reve_Love	Genre_Reve	Le matin, vous vous rappelez de votre rêve :	Vous viviez la plus belle passion amoureuse de votre vie	Amour	Amour_Masc_Début_Lieux, Amour_Masc_Début_Objets, Amour_Masc_Début_Heros, Amour_Masc_Début_Ennemis, Amour_Fem_Début_Objets, Amour_Fem_Début_Heros, Amour_Fem_Début_Ennemis, Amour_Fem_Début_Lieux	SUJ_Roses_FRONT, SUJ_People_Kiss_FRONT, SUJ_Hothothot_FRONT
Genre_Reve_Fantasy	Genre_Reve	Le matin, vous vous rappelez de votre rêve :	Vous parveniez à maîtriser la magie comme personne	Fantasy	Fantasy_Masc_Début_Lieux, Fantasy_Masc_Début_Objets, Fantasy_Masc_Début_Heros, Fantasy_Masc_Début_Ennemis, Fantasy_Fem_Début_Lieux, Fantasy_Fem_Début_Objets, Fantasy_Fem_Début_Heros, Fantasy_Fem_Début_Ennemis	SUJ_Fae_FRONT, MAT_Holo_FRONT
Genre_Passion_SF	Genre_Passion	Votre plus grande passion dans la vie c'est :	Admirer les étoiles	Science-Fiction	SF_Masc_Début_Lieux, SF_Masc_Début_Objets, SF_Masc_Début_Heros, SF_Masc_Début_Ennemis, SF_Fem_Début_Lieux, SF_Fem_Début_Objets, SF_Fem_Début_Heros, SF_Fem_Début_Ennemis	MAT_Holo_FRONT, DEC_Stars_FRONT, SUJ_Stylish_Guy_Stars_FRONT
Genre_Passion_Horreur	Genre_Passion	Votre plus grande passion dans la vie c'est :	Suivre des gens au hasard jusqu'à chez eux, la nuit	Horreur	Horreur_Masc_Début_Lieux, Horreur_Masc_Début_Objets, Horreur_Masc_Début_Heros, Horreur_Masc_Début_Ennemis, Horreur_Fem_Début_Lieux, Horreur_Fem_Début_Objets, Horreur_Fem_Début_Heros, Horreur_Fem_Début_Ennemis	DEC_Urban_Night_FRONT
Genre_Passion_Love	Genre_Passion	Votre plus grande passion dans la vie c'est :	Mettre en couple vos ami-es	Amour	Amour_Masc_Début_Lieux, Amour_Masc_Début_Objets, Amour_Masc_Début_Heros, Amour_Masc_Début_Ennemis, Amour_Fem_Début_Objets, Amour_Fem_Début_Heros, Amour_Fem_Début_Ennemis, Amour_Fem_Début_Lieux	SUJ_People_Kiss_FRONT, SUJ_Roses_FRONT
Genre_Passion_Fantasy	Genre_Passion	Votre plus grande passion dans la vie c'est :	Le cosplay	Fantasy	Fantasy_Masc_Début_Lieux, Fantasy_Masc_Début_Objets, Fantasy_Masc_Début_Heros, Fantasy_Masc_Début_Ennemis, Fantasy_Fem_Début_Lieux, Fantasy_Fem_Début_Objets, Fantasy_Fem_Début_Heros, Fantasy_Fem_Début_Ennemis	SUJ_Future_Warrior_FRONT, SUJ_Knight_FRONT, SUJ_Killer_FRONT
Genre_Nouvelle_SF	Genre_Nouvelle	Quelle nouvelle vous ferait le plus plaisir :	Lidl propose lundi prochain un sabre laser à 39,90€ !	Science-Fiction	SF_Masc_Début_Lieux, SF_Masc_Début_Objets, SF_Masc_Début_Heros, SF_Masc_Début_Ennemis, SF_Fem_Début_Lieux, SF_Fem_Début_Objets, SF_Fem_Début_Heros, SF_Fem_Début_Ennemis	SUJ_Future_Warrior_FRONT, SUJ_Alien_FRONT, DEC_Stars_FRONT
Genre_Nouvelle_Horreur	Genre_Nouvelle	Quelle nouvelle vous ferait le plus plaisir :	Le meurtre est désormais légal pendant une soirée !	Horreur	Horreur_Masc_Début_Lieux, Horreur_Masc_Début_Objets, Horreur_Masc_Début_Heros, Horreur_Masc_Début_Ennemis, Horreur_Fem_Début_Lieux, Horreur_Fem_Début_Objets, Horreur_Fem_Début_Heros, Horreur_Fem_Début_Ennemis	DEC_Gore_Room_FRONT
