Prénoms	Noms
Avenor	Alvernis
Lyséan	Bréchant
Marivelle	Calvéran
Thalric	Dorelmont
Zédrine	Elbrais
Orvian	Fendroy
Ciryelle	Grimoux
Vexian	Halvère
Nolmée	Ivreno
Jadron	Jorvain
Elvéria	Keldran
Tarsian	Lorcieux
Ysalith	Malvois
Dréonis	Nébrac
Velmira	Orvian
Axorian	Prelmont
Zéfora	Quinvelle
Quendral	Risdal
Lirwen	Solmiret
Maviel	Tavren
Sornéa	Argentval
Tyvelis	Bellerive
Elkaris	Chantebrun
Bréomir	Dorévent
Syphora	Écorcieux
Vadril	Flammerein
Lorcéan	Grandécourt
Ilméra	Hautefeuille
Rivenor	Irongrain
Therys	Jolimont
Calbrin	Lormécourt
Evrya	Mornelac
Joriel	Noctebois
Lyscian	Ombreglace
Myrhéa	Périvol
Solmir	Quenloup
Tavrel	Rivembrun
Zyphéa	Sylvombre
Naldric	Tournevent
Védris	Vaudelieu
Helvaris	d’Aubrenoir
Séloran	de Beaulieu
Kyrelia	du Castemer
Mordiel	de Clairfonds
Zyméria	d’Érival
Orlian	de Fontargent
Teyliss	du Grandval
Virian	de Hautecroix
Néboris	d’Ivremont
Galvien	de Jolifé
Vélyria	de Kaelmont
Draniel	du Lormé
Luthen	de Malvès
Serdric	d’Orcheson
Yllena	de Prellan
Farlis	de Quervaux
Oryanne	du Rozelier
Veydris	de Sombrelune
Nymarian	de Tormière
Helisandre	de Valréaux
Zorel	Belsor
Taviona	Castelmire
Rhyenor	Drevorn
Sylaris	Everlac
Jovrel	Fendelion
Estenor	Galdrem
Mélionis	Hervalise
Norvian	Illombra
Zélya	Jolcrain
Carindel	Keldemar
Volric	Lorvenec
Lysendre	Moryan
Eldorien	Norveil
Zoryelle	Ophelgard
Malric	Prysmont
Evrielle	Quelvire
Yorvan	Rhyldorn
Délith	Sylthier
Sylbren	Thavrain
Navro	Vandrel
Elaris	Aubelune
Thélyos	Bellombre
Sélorine	Châtelmire
Kadrien	Dracenoir
Valtiris	Écarlieux
Jyléna	Flammétoile
Veylian	Gaudebois
Iskard	Hauteterre
Rhyvan	Ironsang
Loranya	Lysvelours
Zorvanis	Mornéclair
Neryon	Noiresève
Olymera	Ombrevigne
Tymor	Percedragon
Helric	Quendelac
Lysara	Rubivière
Voltenis	Sylvenoire
Syrelis	Tournebrume
Neldorien	Velcreux
Vexaria	Vauriel
