Nom (Id)	Emplacement	Notes	Liste des contenus	Nombre de références
Fantasy_Masc_Début_Lieux	Début	Fantasy	Le Royaume, Le Château, Le Cimetière	5
Fantasy_Masc_Début_Objets	Début	Fantasy	Le Sortilège, Le Sceptre, Le Grimoire, Le Trône	5
Fantasy_Masc_Début_Heros	Début	Fantasy	Le Roi, Le Prince, Le Géant, Le Magicien, L'Esprit, Le Prodige, L'Enchanteur, Le Seigneur, Le Chevalier	5
Fantasy_Masc_Début_Ennemis	Début	Fantasy	Le Dragon, Le Démon, L'Ogre, Le Nécromancien, Le Basilic	5
Fantasy_Fem_Début_Lieux	Début	Fantasy	La Bibliothèque, La Tour, La Crypte, La Taverne	4
Fantasy_Fem_Début_Objets	Début	Fantasy	L'Épée, La Clé, La Porte, La Relique	5
Fantasy_Fem_Début_Heros	Début	Fantasy	La Reine, L'Enchanteresse, l'Impératrice, La Voyageuse, La Gardienne	5
Fantasy_Fem_Début_Ennemis	Début	Fantasy	L'Ogresse, La Démone, La Dragone, La Trahison, La Vengeance, La Colère, La Peur	5
SF_Masc_Début_Lieux	Début	SF	Le Spatioport, L'Espace, Le Cyberespace	4
SF_Masc_Début_Objets	Début	SF	Le Vaisseau, Le Moteur, Le Droïde	4
SF_Masc_Début_Heros	Début	SF	Le Commandant, Le Cosmonaute	6
SF_Masc_Début_Ennemis	Début	SF	L'Alien, Le Commandant, Le Tyran	4
SF_Fem_Début_Lieux	Début	SF	La Planète, La Galaxie	4
SF_Fem_Début_Objets	Début	SF	La Cybercaisse, L'Armure, La Sphère, L'Interface, La puce	4
SF_Fem_Début_Heros	Début	SF	La Commandante, La Lumière, La Créatrice, L'Astronaute, L'Androïde, La Supernova	6
SF_Fem_Début_Ennemis	Début	SF	La Créature, La Dimension, La Sentinelle, La Machine	4
Horreur_Masc_Début_Lieux	Début	Horreur	Le Cimetière, Le Manoir, Le Sanatorium, Le Labyrinthe, Le Sous-Sol, Le Temple, Le Chalet	5
Horreur_Masc_Début_Objets	Début	Horreur	Le Hachoir, Le Couteau, Le Grimoire, Le Cercueil, Le Talisman	4
Horreur_Masc_Début_Heros	Début	Horreur	Le chasseur, Le Témoin, Le survivant, Le Veilleur, Le Détective	5
Horreur_Masc_Début_Ennemis	Début	Horreur	Le Clown, Le Monstre, Le Zombie, Le Tueur	5
Horreur_Fem_Début_Lieux	Début	Horreur	La Crypte, La Forêt, La Grotte, La Tour, La Prison 	6
Horreur_Fem_Début_Objets	Début	Horreur	La Scie, La Tronçonneuse, La Poupée, La Montre, La Clé, La Lanterne 	4
Horreur_Fem_Début_Heros	Début	Horreur	La Chasseuse, L'Exorciste, La Survivante, La Traqueuse	5
Horreur_Fem_Début_Ennemis	Début	Horreur	La Créature, La Spectre, La Vampire, La Démone, La Médusa, La Prêtresse, 	5
Amour_Masc_Début_Lieux	Début	Amour	Le Jardin, Le Château, Le Café, Le Lac, Le Parc, Le théâtre, Le Sentier	6
Amour_Masc_Début_Objets	Début	Amour	Le Collier, Le Bouquet, Le Carnet, Le Miroir, Le Livre	4
Amour_Masc_Début_Heros	Début	Amour	Le Chevalier, Le Poète, Le Prince, Le Martyr, L'amoureux, L'Amant	5
Amour_Masc_Début_Ennemis	Début	Amour	Le Jaloux, Le Traître, Le Vengeur, Le Rival	4
Amour_Fem_Début_Lieux	Début	Amour	La Mer, La Terrasse, La Colline, La Chambre, La Fontaine, La Montagne	5
Amour_Fem_Début_Objets	Début	Amour	La Rose, La Bougie, La Plume, La Bague, La Perle	4
Amour_Fem_Début_Heros	Début	Amour	L'Amante, La Princesse, La Reine, La Déesse, La Sirène	5
Amour_Fem_Début_Ennemis	Début	Amour	La Traîtresse, La Rivale, La Vengeresse, La Jalouse, L'Ombre, La Manipulatrice	4
Masc_Fin_Positif	Fin	Global	vaillant, déterminé, intelligent, loyal, doux, dynamique, généreux, inarrêtablement créatif, trop stylé, géniallissime	2
Masc_Fin_Negatif	Fin	Global	couard, maudit, abandonné, oublié, anti-social, jaloux, manipulateur, menteur, arrogant	3
Fem_Fin_Positif	Fin	Global	vaillante, déterminée, intelligente, loyale, douce, dynamique, généreuse, inarrêtablement créative, trop stylée, géniallissime	2
Fem_Fin_Negatif	Fin	Global	couarde, maudite, abandonnée, oubliée, anti-sociale, jalouse, manipulatrice, menteuse, arrogante	3
Fin_1_Negatif	Fin	Global	de l'apocalypse, du dernier espoir, des ombres, des enfers, du temps perdu	1
Fin_1_Positif	Fin	Global	du renouveau, de l'espoir, des cieux, du temps retrouvé	0
Fin_2_Positif	Fin	Global	qui rit, qui danse sous les étoiles, qui chante sous la pluie	0
Fin_2_Négatif	Fin	Global	qui pleure, qui déprime, qui déteste les matins, qui parle pour ne rien dire	1
Fin_2_Neutre	Fin	Global	qui dort la nuit, qui dort le jour, qui parle	3
Fin_Couleurs_Masc	Fin	Global	rouge, noir, pourpre, cendré, carmin, écarlate, doré, cuivré	0
Fin_Couleurs_Fem	Fin	Global	rouge, noire, pourpre, cendrée, carmine, écarlate, dorée, cuivrée	0
