Nom question (Id)	Étape	Corps de la question (200 caractères max)	Réponses	Doit avoir ces réponses	Doit NE PAS avoir ces réponses
Reve	Genre	Le matin, vous vous rappelez de votre rêve :	Reve_1, Reve_2, Reve_3, Reve_4		
Passion	Genre	Votre plus grande passion dans la vie c'est :	Passion_1, Passion_2, Passion_3, Passion_4		
Nouvelle	Genre	Il y a des nouvelles qui donnent le smile, comme par exemple :	Nouvelle_1, Nouvelle_2, Nouvelle_3, Nouvelle_4, Nouvelle_5		
Gel_Douche	Genre	Votre gel douche de tous les jours :	Gel_Douche_1, Gel_Douche_2, Gel_Douche_3, Gel_Douche_4, Gel_Douche_5, Gel_Douche_6		
Fromage	Genre	Si vous étiez un fromage :	Fromage_1, Fromage_2, Fromage_3, Fromage_4		
Plat	Genre	Votre dernier repas :	Plat_1, Plat_2, Plat_3, Plat_4		
Meteo	Genre	La météo qui vous donne le sourire :	Meteo_1, Meteo_2, Meteo_3, Meteo_4		
Chocolatine	Genre	Préférez-vous les pains au chocolat ou les chocolatines ?	Chocolatine_1, Chocolatine_2, Chocolatine_3, Chocolatine_4, Chocolatine_5, Chocolatine_6		
Chanson	Couverture	Quel est votre chanson préférée ?	Chanson_1, Chanson_2, Chanson_3, Chanson_4, Chanson_5, Chanson_6, Chanson_7, Chanson_8, Chanson_9, Chanson_10, Chanson_11, Chanson_12, Chanson_13		
Fruit	Couverture	Quel est votre fruit préféré ?	Fruit_1, Fruit_2, Fruit_3, Fruit_4, Fruit_5		
Fleur	Couverture	La fleur pour vous faire chavirer	Fleur_2, Fleur_3, Fleur_1, Fleur_4, Fleur_5		
Habitation	Couverture	Dans quel endroit préféreriez-vous habiter ?	Habitation_GratteCiel, Habitation_Chateau, Habitation_Urbain, Habitation_Cimetiere, Habitation_5		
Droitier_Gaucher	Couverture	Droitier ou gaucher ?	Droitier_Gaucher_1, Droitier_Gaucher_2, Droitier_Gaucher_3, Droitier_Gaucher_4		
Crampte	Couverture	Avez-vous les cramptés ?	Crampte_1, Crampte_2, Crampte_3, Crampte_4, Crampte_5		
Pizza	Couverture	Quelle pizza êtes-vous ?	Pizza_1, Pizza_2, Pizza_3, Pizza_4		
Carriere_pro	Couverture	Votre carrière professionnelle de rêve :	Carriere_1, Carriere_2, Carriere_3, Carriere_4		
Saucisson	Couverture	Quelle est l'occasion la plus appropriée pour sortir un saucisson ?	Saucisson_1, Saucisson_2, Saucisson_3, Saucisson_4, Saucisson_5		
Date	Couverture	Le meilleur coin pour un date :	Date_1, Date_2, Date_3, Date_4, Date_5, Date_6, Date_7, Date_8, Date_9		
Tu_Preferes	Couverture	Honnêtement, vous préférez :	Tu_Preferes_1, Tu_Preferes_2, Tu_Preferes_3, Tu_Preferes_4, Tu_Preferes_5, Tu_Preferes_6, Tu_Preferes_8, Tu_Preferes_10, Tu_Preferes_11, Tu_Preferes_12, Tu_Preferes_13, Tu_Preferes_14, Tu_Preferes_15		
Titre_Adjectif	Titre	En vrai de vrai, vos parents sont fiers de vous ?	Titre_Adjectif_Positif, Titre_Adjectif_Negatif		
Titre_Sujet	Titre	Aujourd'hui, vous avez envie de...	Titre_Sujet_Lieux, Titre_Sujet_Objets, Titre_Sujet_Heros, Titre_Sujet_Ennemis		
Astre	Titre	Quel est votre astre préféré ?	Astre_1, Astre_2, Astre_3, Astre_4, Astre_5		
Monstre_Lit	Titre	Quel monstre y a-t-il sous votre lit ?	Monstre_Lit_1, Monstre_Lit_2, Monstre_Lit_3, Monstre_Lit_4, Monstre_Lit_5, Monstre_Lit_6, Monstre_Lit_7		
Angouniarof	Synopsis	Quelle attraction Angouniarof êtes-vous ?	Angouniarof_1, Angouniarof_2, Angouniarof_3, Angouniarof_4, Angouniarof_5, Angouniarof_6, Angouniarof_7, Angouniarof_8, Angouniarof_9, Angouniarof_10, Angouniarof_11, Angouniarof_12		
